task,method,seed,tail_loss,tail_tracking_error,tail_feasibility_residual,tail_frame_error,tail_subspace_error
grassmann_basis_rotation,ProjectedEuclideanSGD,1005,4.1160955211218e-31,7.3528863043855825e-09,2.920358471474206e-16,0.7046840696120691,7.3528863043855825e-09
grassmann_basis_rotation,EuclideanSGD,1005,2.3937955039241194e-32,1.27283130306472e-08,7.035586825437977e-16,0.7046840696120691,1.27283130306472e-08
simplex_tracking,ProjectedSGD,1006,0.0002168774873426961,0.01377321690674179,8.049116928532385e-17,,
simplex_tracking,ExponentiatedGradient,1006,0.004758445165886469,0.06385898028787987,7.105427357601002e-17,,
simplex_tracking,EuclideanSGD,1006,0.00022031225884865953,0.013929475887154557,0.004692480793630895,,
stiefel_frame_tracking,RiemannianSGD,1006,0.0059855977320648944,0.07049617866898485,6.17428758764498e-16,0.07049617866898485,0.06624188715127347
stiefel_frame_tracking,ProjectedEuclideanSGD,1006,0.005976875235727248,0.07044961278925094,5.840733285545882e-16,0.07044961278925094,0.06619577782341929
stiefel_frame_tracking,EuclideanSGD,1006,0.005957503715340813,0.07034350481020038,0.0066048813647905545,0.07034350481020038,0.06609015292763246
grassmann_subspace_tracking,RiemannianSGD,1006,0.004484504305312098,0.06120268769776138,5.447235720383843e-16,0.2228770473573379,0.06120268769776138
grassmann_subspace_tracking,ProjectedEuclideanSGD,1006,0.004474449850873455,0.061139801041074734,5.377573486504513e-16,0.22283518684481762,0.061139801041074734
grassmann_subspace_tracking,EuclideanSGD,1006,0.004484492366816894,0.06119302808053757,0.005725414052015301,0.22286011233180836,0.06119302808053757
grassmann_basis_rotation,RiemannianSGD,1006,2.6602214301933583e-31,4.991472761189264e-09,2.5326973385994647e-16,0.7046840696120691,4.991472761189264e-09
grassmann_basis_rotation,ProjectedEuclideanSGD,1006,2.529099605681168e-31,6.661154192256408e-09,3.1403012275509866e-16,0.7046840696120691,6.661154192256408e-09
grassmann_basis_rotation,EuclideanSGD,1006,2.604260526393649e-32,8.588387289498325e-09,6.071668852132284e-16,0.704684069612069,8.588387289498325e-09
simplex_tracking,ProjectedSGD,1007,0.00025059700475614684,0.014691542146432326,7.66053886991358e-17,,
simplex_tracking,ExponentiatedGradient,1007,0.005420535546581572,0.06783153017600613,6.161737786669619e-17,,
simplex_tracking,EuclideanSGD,1007,0.00025522032539889106,0.014880876810378729,0.005454560878136394,,
stiefel_frame_tracking,RiemannianSGD,1007,0.004272635273981271,0.05970647711648608,6.407025543477166e-16,0.05970647711648608,0.05681822023220333
stiefel_frame_tracking,ProjectedEuclideanSGD,1007,0.004267703502817471,0.05967433892837769,5.874085360319057e-16,0.05967433892837769,0.05678637620598261
stiefel_frame_tracking,EuclideanSGD,1007,0.004264686161648098,0.05960410041185425,0.007024569702265057,0.05960410041185425,0.056717309834955126
grassmann_subspace_tracking,RiemannianSGD,1007,0.006624295560772779,0.07426088722569184,5.74800569081378e-16,0.13470825116422971,0.07426088722569184
grassmann_subspace_tracking,ProjectedEuclideanSGD,1007,0.00659640235391275,0.07411540906432339,6.01466375762469e-16,0.13465161226282718,0.07411540906432339
grassmann_subspace_tracking,EuclideanSGD,1007,0.006602175640944279,0.07424118453460529,0.0073819506917049416,0.13478466230286393,0.07424118453460529
grassmann_basis_rotation,RiemannianSGD,1007,1.8527837269525163e-31,9.316616826177431e-09,3.335110625251875e-16,0.704684069612069,9.316616826177431e-09
grassmann_basis_rotation,ProjectedEuclideanSGD,1007,1.4637091651467298e-31,6.119903083902143e-09,2.658154527732562e-16,0.7046840696120696,6.119903083902143e-09
grassmann_basis_rotation,EuclideanSGD,1007,2.199634682140043e-32,2.077442823670311e-08,3.154677858142916e-16,0.7046840696120691,2.077442823670311e-08
simplex_tracking,ProjectedSGD,1008,0.00013895319926459122,0.011232963920258205,7.216449660063518e-17,,
simplex_tracking,ExponentiatedGradient,1008,0.002958771422839172,0.04988400153108299,5.773159728050814e-17,,
simplex_tracking,EuclideanSGD,1008,0.00014377424731881777,0.011445166810634613,0.005548756851701317,,
stiefel_frame_tracking,RiemannianSGD,1008,0.0033086230490534867,0.05264491382672595,5.59558493849225e-16,0.05264491382672595,0.04996201205342727
stiefel_frame_tracking,ProjectedEuclideanSGD,1008,0.003305467827131863,0.0526218246332613,5.342963769692661e-16,0.0526218246332613,0.04993868558377131
stiefel_frame_tracking,EuclideanSGD,1008,0.00330571594126238,0.05256735573497357,0.006616538223172359,0.05256735573497357,0.049883250377022084
grassmann_subspace_tracking,RiemannianSGD,1008,0.000988511109052647,0.028930419771766386,5.839620859682996e-16,0.05431129213350668,0.028930419771766386
grassmann_subspace_tracking,ProjectedEuclideanSGD,1008,0.0009881540923478676,0.02892484629076115,5.663090889281114e-16,0.054309028522225855,0.02892484629076115
grassmann_subspace_tracking,EuclideanSGD,1008,0.0009987944735893916,0.02893059863031314,0.004307954347537085,0.05430201709521025,0.02893059863031314
grassmann_basis_rotation,RiemannianSGD,1008,1.087644937200025e-31,9.892516695262824e-09,4.522326203290887e-16,0.704684069612069,9.892516695262824e-09
grassmann_basis_rotation,ProjectedEuclideanSGD,1008,1.3144187494849534e-31,1.5479981951945248e-08,3.0856112559019193e-16,0.704684069612069,1.5479981951945248e-08
grassmann_basis_rotation,EuclideanSGD,1008,2.387749513299874e-32,2.767250438472028e-09,2.573175519622096e-16,0.7046840696120691,2.767250438472028e-09
simplex_tracking,ProjectedSGD,1009,0.00015199729845439603,0.011480887215407196,9.048317650695025e-17,,
simplex_tracking,ExponentiatedGradient,1009,0.0033301451848409902,0.05313070136436941,6.605826996519681e-17,,
simplex_tracking,EuclideanSGD,1009,0.00015761435093425855,0.011757586739802888,0.006092536729059797,,
stiefel_frame_tracking,RiemannianSGD,1009,0.007091403167198275,0.07672249717070324,5.897272876304159e-16,0.07672249717070324,0.07043958146946863
stiefel_frame_tracking,ProjectedEuclideanSGD,1009,0.007076564472838443,0.07665079164015473,5.576473924888999e-16,0.07665079164015473,0.07036825706755041
stiefel_frame_tracking,EuclideanSGD,1009,0.00703653313312068,0.0764756980679061,0.007859595190956923,0.0764756980679061,0.0701946042605308
grassmann_subspace_tracking,RiemannianSGD,1009,0.007445971761287425,0.07864139081090302,5.745616065654344e-16,0.09058522270799223,0.07864139081090302
grassmann_subspace_tracking,ProjectedEuclideanSGD,1009,0.007407642147177032,0.07845212265476487,6.062272888207825e-16,0.09040072987410203,0.07845212265476487
grassmann_subspace_tracking,EuclideanSGD,1009,0.007412426621846656,0.07861816781351784,0.008303339150600837,0.09055815878422711,0.07861816781351784
grassmann_basis_rotation,RiemannianSGD,1009,2.045391090634184e-31,3.852398197680565e-09,4.64844245319489e-16,0.704684069612069,3.852398197680565e-09
grassmann_basis_rotation,ProjectedEuclideanSGD,1009,2.019637946622358e-31,1.0261312591278688e-08,2.4757843819528224e-16,0.7046840696120691,1.0261312591278688e-08
grassmann_basis_rotation,EuclideanSGD,1009,2.186271286201703e-32,7.46294753352737e-09,1.8836758726882185e-16,0.704684069612069,7.46294753352737e-09
simplex_tracking,ProjectedSGD,1010,0.00018673531024115226,0.01272943698004958,7.271960811294776e-17,,
simplex_tracking,ExponentiatedGradient,1010,0.0037332215354228464,0.05643233662988017,4.829470157119431e-17,,
simplex_tracking,EuclideanSGD,1010,0.00019102546791359532,0.012922266038612582,0.005241276979475823,,
stiefel_frame_tracking,RiemannianSGD,1010,0.006356501862212169,0.07257925172124713,5.866315657006914e-16,0.07257925172124713,0.07080575855889182
stiefel_frame_tracking,ProjectedEuclideanSGD,1010,0.00634495684331913,0.07252201844100281,5.535244425765757e-16,0.07252201844100281,0.07074855451453103
stiefel_frame_tracking,EuclideanSGD,1010,0.0063194310390155325,0.07239471442161319,0.0074482200785421695,0.07239471442161319,0.0706214450187793
