case_id,dim,condition_number,path_kind,observation_noise,drift_per_query,amplitude,period,protocol,method,family,seed,final_mse,query_averaged_mse,tail_mse,queries_to_threshold,mean_gradient_cosine,updates,queries_per_update,learning_rate,smoothing,directions,maximum_gradient_norm,failed
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1012,1.082920014113947e-05,0.006594128841508557,2.356076992630129e-05,300.0,0.141094692151471,5000.0,2.0,0.020000000000000004,0.3,1.0,28.94605598147005,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1013,3.787319654971015e-05,0.0054506686899497055,2.3873718747870608e-05,250.0,0.1432829439920805,5000.0,2.0,0.020000000000000004,0.3,1.0,22.138131302636605,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1014,1.4864843569873397e-05,0.004905640176000207,2.159818954095394e-05,250.0,0.13775768472993463,5000.0,2.0,0.020000000000000004,0.3,1.0,27.530134665675476,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1015,2.6055896574480135e-05,0.004783777188984698,2.063743045201782e-05,250.0,0.14017721326058247,5000.0,2.0,0.020000000000000004,0.3,1.0,24.850526832385704,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1016,2.0405207909433768e-05,0.005264302987048607,2.5447411137014125e-05,250.0,0.14005418510708442,5000.0,2.0,0.020000000000000004,0.3,1.0,27.846798197199213,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1017,6.499043014876521e-06,0.004464249115701007,2.4283362986621962e-05,200.0,0.14044894069526145,5000.0,2.0,0.020000000000000004,0.3,1.0,26.668346969872943,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1018,1.950482461712503e-05,0.006227655239372914,2.3000396927357742e-05,300.0,0.14151025558427646,5000.0,2.0,0.020000000000000004,0.3,1.0,25.99882808854211,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1019,9.037715461345259e-06,0.005755684717840976,2.3240561609292214e-05,250.0,0.14394575254105088,5000.0,2.0,0.020000000000000004,0.3,1.0,25.152551531812403,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1020,2.1801168759072817e-05,0.004493405193457843,2.5078371120590266e-05,250.0,0.1410067675892025,5000.0,2.0,0.020000000000000004,0.3,1.0,24.66599517747425,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1021,2.095913097610053e-05,0.004051385338024382,2.4226967223295947e-05,200.0,0.13849657337712568,5000.0,2.0,0.020000000000000004,0.3,1.0,27.996267446582298,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1022,1.889300528324302e-05,0.005773361436938953,2.294911426462663e-05,250.0,0.1402620494703484,5000.0,2.0,0.020000000000000004,0.3,1.0,24.77504464370461,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1023,1.4718184305849386e-05,0.005441753604266148,2.7071201343204555e-05,250.0,0.1399985240562358,5000.0,2.0,0.020000000000000004,0.3,1.0,18.113772459304478,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1024,1.4147846515696135e-05,0.005553442605664766,2.320945154935491e-05,250.0,0.14181670708060182,5000.0,2.0,0.020000000000000004,0.3,1.0,18.9819986013022,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1025,1.4705739007462628e-05,0.0072703953120487295,2.1259585690091452e-05,250.0,0.14300152790535298,5000.0,2.0,0.020000000000000004,0.3,1.0,18.068751976935353,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1026,3.3182471408459396e-05,0.005568132667035346,2.4551473461939497e-05,250.0,0.1436789239480938,5000.0,2.0,0.020000000000000004,0.3,1.0,22.71450575373665,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1027,1.5828687171624597e-05,0.0056366732294031744,2.4249230891081988e-05,250.0,0.13910546201328922,5000.0,2.0,0.020000000000000004,0.3,1.0,26.76794704681935,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1028,1.7636356609366923e-05,0.004009302926078295,2.287372108133073e-05,200.0,0.14144726601573865,5000.0,2.0,0.020000000000000004,0.3,1.0,21.359956996393635,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1029,1.6632549551770206e-05,0.003351604212227788,2.2961192629294513e-05,150.0,0.13926559341454753,5000.0,2.0,0.020000000000000004,0.3,1.0,26.807648082124327,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m1,gaussian,1030,8.747694332916843e-06,0.005443389928268965,2.4664379721413363e-05,300.0,0.1393309481548485,5000.0,2.0,0.020000000000000004,0.3,1.0,19.526625476370274,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1001,2.5871802703730626e-05,0.006348376399310281,3.1785974835762705e-05,250.0,0.38958228944525025,1000.0,10.0,0.1,0.3,5.0,6.0908738927242965,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1002,2.7314709068297963e-05,0.007444374568218194,3.453792107150996e-05,300.0,0.38658863815945915,1000.0,10.0,0.1,0.3,5.0,7.001984055039787,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1003,1.3532461900905933e-05,0.007724554042925653,3.338437499432407e-05,300.0,0.38399752730788383,1000.0,10.0,0.1,0.3,5.0,11.182828454025827,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1004,4.468619748997735e-05,0.008830358818610672,3.1865810920257085e-05,400.0,0.3750537438963387,1000.0,10.0,0.1,0.3,5.0,8.340507826733035,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1005,9.670650451737241e-05,0.006422323043314269,3.3080590049854186e-05,300.0,0.37983459811815656,1000.0,10.0,0.1,0.3,5.0,6.326552744800974,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1006,1.6244155250298703e-05,0.0049163232294582105,3.068141035303546e-05,250.0,0.37709767765195307,1000.0,10.0,0.1,0.3,5.0,6.0629968615546455,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1007,4.192046793135224e-05,0.009542572024678665,3.8336578826132356e-05,300.0,0.3837740350237976,1000.0,10.0,0.1,0.3,5.0,7.851258495204823,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1008,3.478778480831626e-05,0.007741315407080215,2.8836411189832688e-05,300.0,0.3824565640487052,1000.0,10.0,0.1,0.3,5.0,8.87968394305745,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1009,3.840041778131877e-05,0.007515910764136363,3.3529356049737874e-05,300.0,0.3805204120326815,1000.0,10.0,0.1,0.3,5.0,10.575011690516495,0.0
stationary_d20,20,5.0,stationary,0.001,0.0,0.0,0,frozen,Gaussian-m5,gaussian,1010,6.240196484497689e-05,0.00692815401462228,4.0508792701577785e-05,300.0,0.3817828857739157,1000.0,10.0,0.1,0.3,5.0,6.451145685173332,0.0
