method,fine_tune_episodes,seed,scenario,dimension,noise,dynamic_regret,mean_regret,tail_regret,mean_tracking_error,post_change_error,max_constraint_violation,mean_step_size,mean_reallocation_l1,exploration_fraction,reversal_fraction,value_queries
Curriculum pretrained,50,21160755,mixed,12,heavy_tailed,18.484598250801163,0.06161532750267054,0.12132213057640959,0.23463728391582633,0.22468490042955738,4.440892098500626e-16,0.06493333333333334,0.12620643444972907,0.38333333333333336,0.4,301.0
Curriculum pretrained,50,21160756,mixed,12,heavy_tailed,22.422667095338788,0.0747422236511293,0.11432729169507688,0.2577915057997046,0.2807246904712847,4.440892098500626e-16,0.061133333333333345,0.11945485655495154,0.37,0.35333333333333333,301.0
Curriculum pretrained,100,21160727,mixed,12,heavy_tailed,20.486704724011545,0.06828901574670515,0.09130887250789275,0.2542453011272547,0.2766965713971652,4.440892098500626e-16,0.05513333333333333,0.10669784536077029,0.16,0.5733333333333334,301.0
Curriculum pretrained,100,21160728,mixed,12,heavy_tailed,20.39096671843746,0.0679698890614582,0.105755883696853,0.25274383933408673,0.25573847141621747,4.440892098500626e-16,0.056799999999999996,0.11037828993084943,0.21333333333333335,0.5633333333333334,301.0
Curriculum pretrained,100,21160729,mixed,12,heavy_tailed,20.983968784747695,0.06994656261582564,0.2211499780891601,0.23055577935706614,0.22623132700429816,4.440892098500626e-16,0.0429,0.08457592948767369,0.35,0.45666666666666667,301.0
Curriculum pretrained,100,21160730,mixed,12,heavy_tailed,31.834124902128096,0.10611374967376032,0.2062094199911209,0.3001531307867807,0.2837658489507,8.881784197001252e-16,0.05046666666666667,0.09938285727306405,0.23333333333333334,0.5566666666666666,301.0
Curriculum pretrained,100,21160731,mixed,12,heavy_tailed,20.28428519071536,0.0676142839690512,0.14387514426724357,0.2445084191384199,0.2430619921331724,4.440892098500626e-16,0.050233333333333324,0.09915474080248154,0.21333333333333335,0.5233333333333333,301.0
Curriculum pretrained,100,21160732,mixed,12,heavy_tailed,20.252638226837057,0.06750879408945686,0.11301619519383992,0.2511941543167605,0.2770459459226355,6.661338147750939e-16,0.05823333333333333,0.11364705231349513,0.19333333333333333,0.5266666666666666,301.0
Curriculum pretrained,100,21160733,mixed,12,heavy_tailed,23.109266482122784,0.07703088827374262,0.10490123119794552,0.26456942311411713,0.2837658786193046,5.551115123125783e-16,0.0514,0.1002353598781593,0.2866666666666667,0.5066666666666667,301.0
Curriculum pretrained,100,21160734,mixed,12,heavy_tailed,34.17937270195175,0.11393124233983916,0.23334665685644676,0.30449833724587394,0.32544087676001127,4.440892098500626e-16,0.048799999999999996,0.09568238116230125,0.29333333333333333,0.45,301.0
Curriculum pretrained,100,21160735,mixed,12,heavy_tailed,22.247717013465817,0.07415905671155272,0.1414796067504099,0.25462938619385844,0.21840050921902127,6.661338147750939e-16,0.04973333333333333,0.09654745452011312,0.23,0.52,301.0
Curriculum pretrained,100,21160736,mixed,12,heavy_tailed,19.21236805898989,0.06404122686329963,0.152507027799544,0.23530496667230016,0.2166124671538606,5.551115123125783e-16,0.0498,0.09729389317556153,0.2733333333333333,0.55,301.0
Curriculum pretrained,100,21160737,mixed,12,heavy_tailed,15.181922263954089,0.05060640754651363,0.12337850916918962,0.20958733983406613,0.18961541769948367,4.440892098500626e-16,0.04393333333333333,0.08623716162038192,0.31666666666666665,0.47333333333333333,301.0
Curriculum pretrained,100,21160738,mixed,12,heavy_tailed,14.838536831946232,0.049461789439820776,0.11368909553501284,0.20402433779743268,0.1896365637126521,4.440892098500626e-16,0.04816666666666666,0.09376492655601137,0.29333333333333333,0.46,301.0
Curriculum pretrained,100,21160739,mixed,12,heavy_tailed,20.267342260796305,0.06755780753598768,0.17103525648626952,0.23476888677056795,0.2467709461312734,6.661338147750939e-16,0.04433333333333333,0.08593752751384817,0.35,0.44666666666666666,301.0
Curriculum pretrained,100,21160740,mixed,12,heavy_tailed,23.550616610841946,0.07850205536947315,0.08557949087335018,0.2707314249223699,0.31588134698195597,6.661338147750939e-16,0.05546666666666667,0.10902422545069049,0.16333333333333333,0.58,301.0
Curriculum pretrained,100,21160741,mixed,12,heavy_tailed,23.312152606520606,0.07770717535506869,0.10527752344300018,0.265846377965559,0.2726986365892177,4.440892098500626e-16,0.05229999999999999,0.10236328019626512,0.17,0.5833333333333334,301.0
Curriculum pretrained,100,21160742,mixed,12,heavy_tailed,25.350811342308365,0.08450270447436121,0.18073621115678593,0.2762824053556589,0.27168500532987344,4.440892098500626e-16,0.05356666666666666,0.10548779165395508,0.17333333333333334,0.5633333333333334,301.0
Curriculum pretrained,100,21160743,mixed,12,heavy_tailed,23.96839696510531,0.07989465655035104,0.1578622929312191,0.26640402689872106,0.25688101136471675,4.440892098500626e-16,0.05513333333333333,0.10834502120865296,0.29,0.5033333333333333,301.0
Curriculum pretrained,100,21160744,mixed,12,heavy_tailed,20.18188279216251,0.0672729426405417,0.1085602117986044,0.24842578825117376,0.25691609282347094,4.440892098500626e-16,0.0504,0.09938502073479244,0.2833333333333333,0.5,301.0
Curriculum pretrained,100,21160745,mixed,12,heavy_tailed,34.051188947439954,0.11350396315813317,0.14669190733496623,0.324373429158445,0.3642079087727881,4.440892098500626e-16,0.05006666666666666,0.09740240727243912,0.22,0.5133333333333333,301.0
Curriculum pretrained,100,21160746,mixed,12,heavy_tailed,15.701308178096781,0.05233769392698927,0.09833319704916613,0.21796661366712147,0.21326183983369776,4.440892098500626e-16,0.047266666666666665,0.09348427450649778,0.28,0.5133333333333333,301.0
Curriculum pretrained,100,21160747,mixed,12,heavy_tailed,23.497401009864923,0.07832467003288307,0.11688948363915647,0.273884420355645,0.2760336806361182,5.551115123125783e-16,0.052599999999999994,0.103612643760381,0.19333333333333333,0.53,301.0
Curriculum pretrained,100,21160748,mixed,12,heavy_tailed,27.369082230866155,0.09123027410288718,0.25005638005945946,0.2707146513936539,0.247769511640767,6.661338147750939e-16,0.05076666666666666,0.09982516644482946,0.27,0.5066666666666667,301.0
Curriculum pretrained,100,21160749,mixed,12,heavy_tailed,24.055064252467197,0.08018354750822398,0.11577394347330412,0.27642054271145516,0.2887149184863018,4.440892098500626e-16,0.05706666666666667,0.12304644800833932,0.14333333333333334,0.5633333333333334,301.0
